state0,state1,rate,N
"E20","U9",0,0
"E21","Enew1",.0047233,233
"E21","Enew10",.001031,51
"E21","Enew11",.001033,51
"E21","Enew12",.0009523,47
"E21","Enew13",.0030062,148
"E21","Enew14",.0027034,133
"E21","Enew15",.001209,60
"E21","Enew16",.0055158,272
"E21","Enew17",.0060446,298
"E21","Enew18",.0011729,58
"E21","Enew19",.0070243,347
"E21","Enew2",.0012802,63
"E21","Enew20",.0036437,180
"E21","Enew21",.0645388,3184
"E21","Enew22",.0088991,438
"E21","Enew3",.0009307,46
"E21","Enew4",.0016445,81
"E21","Enew5",.0006434,32
"E21","Enew6",.0002668,13
"E21","Enew7",.000063,3
"E21","Enew8",.0008759,43
"E21","Enew9",.0012,59
"E21","Esame1",0,0
"E21","Esame10",0,0
"E21","Esame11",0,0
"E21","Esame12",0,0
"E21","Esame13",0,0
"E21","Esame14",0,0
"E21","Esame15",0,0
"E21","Esame16",0,0
"E21","Esame17",0,0
"E21","Esame18",0,0
"E21","Esame19",0,0
"E21","Esame2",0,0
"E21","Esame20",0,0
"E21","Esame21",.8700572,42887
"E21","Esame22",0,0
"E21","Esame3",0,0
"E21","Esame4",0,0
"E21","Esame5",0,0
"E21","Esame6",0,0
"E21","Esame7",0,0
"E21","Esame8",0,0
"E21","Esame9",0,0
"E21","U1",0,0
"E21","U10",0,0
"E21","U11",0,0
"E21","U12",0,0
"E21","U13",0,0
"E21","U14",0,0
"E21","U15",0,0
"E21","U16",0,0
"E21","U17",0,0
"E21","U18",0,0
"E21","U19",0,0
"E21","U2",0,0
"E21","U20",0,0
"E21","U21",.0115407,569
"E21","U22",0,0
"E21","U3",0,0
"E21","U4",0,0
"E21","U5",0,0
"E21","U6",0,0
"E21","U7",0,0
"E21","U8",0,0
"E21","U9",0,0
"E22","Enew1",.004397,229
"E22","Enew10",.0009434,49
"E22","Enew11",.0007429,39
"E22","Enew12",.0009786,51
"E22","Enew13",.0034161,178
"E22","Enew14",.0041176,215
"E22","Enew15",.0018389,96
"E22","Enew16",.0059493,310
"E22","Enew17",.0092864,485
"E22","Enew18",.0015525,81
"E22","Enew19",.0058546,304
"E22","Enew2",.001285,67
"E22","Enew20",.003572,186
"E22","Enew21",.0090415,471
"E22","Enew22",.0798045,4158
"E22","Enew3",.0006728,35
"E22","Enew4",.0007177,37
"E22","Enew5",.0001498,8
"E22","Enew6",.0003459,18
"E22","Enew7",.0001531,8
"E22","Enew8",.0008647,45
"E22","Enew9",.0006708,35
"E22","Esame1",0,0
"E22","Esame10",0,0
"E22","Esame11",0,0
"E22","Esame12",0,0
"E22","Esame13",0,0
"E22","Esame14",0,0
"E22","Esame15",0,0
"E22","Esame16",0,0
"E22","Esame17",0,0
"E22","Esame18",0,0
"E22","Esame19",0,0
"E22","Esame2",0,0
"E22","Esame20",0,0
"E22","Esame21",0,0
"E22","Esame22",.8487906,44243
"E22","Esame3",0,0
"E22","Esame4",0,0
"E22","Esame5",0,0
"E22","Esame6",0,0
"E22","Esame7",0,0
"E22","Esame8",0,0
"E22","Esame9",0,0
"E22","U1",0,0
"E22","U10",0,0
"E22","U11",0,0
"E22","U12",0,0
"E22","U13",0,0
"E22","U14",0,0
"E22","U15",0,0
"E22","U16",0,0
"E22","U17",0,0
"E22","U18",0,0
"E22","U19",0,0
"E22","U2",0,0
"E22","U20",0,0
"E22","U21",0,0
"E22","U22",.0148541,771
"E22","U3",0,0
"E22","U4",0,0
"E22","U5",0,0
"E22","U6",0,0
"E22","U7",0,0
"E22","U8",0,0
"E22","U9",0,0
"E3","Enew1",.0117895,329
"E3","Enew10",.0017681,49
"E3","Enew11",.0003602,10
"E3","Enew12",.0008635,24
"E3","Enew13",.0009037,25
"E3","Enew14",.000506,14
"E3","Enew15",.0006188,17
"E3","Enew16",.0040539,113
"E3","Enew17",.0061403,171
"E3","Enew18",.0001082,3
"E3","Enew19",.0011371,32
"E3","Enew2",.005459,152
"E3","Enew20",.0021877,61
"E3","Enew21",.0018314,51
"E3","Enew22",.0015542,43
"E3","Enew3",.0676027,1881
"E3","Enew4",.0040233,112
"E3","Enew5",.0009335,26
"E3","Enew6",.0005718,16
"E3","Enew7",.0005027,14
"E3","Enew8",.0018786,52
"E3","Enew9",.0021489,60
"E3","Esame1",0,0
"E3","Esame10",0,0
"E3","Esame11",0,0
"E3","Esame12",0,0
"E3","Esame13",0,0
"E3","Esame14",0,0
"E3","Esame15",0,0
"E3","Esame16",0,0
"E3","Esame17",0,0
"E3","Esame18",0,0
"E3","Esame19",0,0
"E3","Esame2",0,0
"E3","Esame20",0,0
"E3","Esame21",0,0
"E3","Esame22",0,0
"E3","Esame3",.8778538,24393
"E3","Esame4",0,0
"E3","Esame5",0,0
"E3","Esame6",0,0
"E3","Esame7",0,0
"E3","Esame8",0,0
"E3","Esame9",0,0
"E3","U1",0,0
